zip5,state,district,is_split,is_dc
85298,AZ,5,False,False
85302,AZ,8,False,False
85304,AZ,8,False,False
85306,AZ,8,False,False
85308,AZ,8,False,False
85309,AZ,9,False,False
85310,AZ,8,False,False
85320,AZ,9,False,False
85321,AZ,7,False,False
85324,AZ,2,False,False
85325,AZ,9,False,False
85328,AZ,9,False,False
85329,AZ,7,False,False
85332,AZ,2,False,False
85334,AZ,9,False,False
85335,AZ,9,False,False
85336,AZ,7,False,False
85341,AZ,7,False,False
85343,AZ,9,False,False
85344,AZ,9,False,False
85346,AZ,9,False,False
85348,AZ,9,False,False
85352,AZ,9,False,False
85355,AZ,9,False,False
85357,AZ,9,False,False
85360,AZ,9,False,False
85362,AZ,2,False,False
85367,AZ,9,False,False
85371,AZ,9,False,False
85379,AZ,9,False,False
85381,AZ,8,False,False
85382,AZ,8,False,False
85388,AZ,9,False,False
85395,AZ,9,False,False
85396,AZ,9,False,False
85501,AZ,2,False,False
85530,AZ,2,False,False
85531,AZ,6,False,False
85532,AZ,2,False,False
85534,AZ,6,False,False
85535,AZ,6,False,False
85539,AZ,2,False,False
85540,AZ,6,False,False
85541,AZ,2,False,False
85542,AZ,2,False,False
85544,AZ,2,False,False
85550,AZ,2,False,False
85551,AZ,6,False,False
85552,AZ,6,False,False
85553,AZ,2,False,False
85554,AZ,2,False,False
85601,AZ,7,False,False
85602,AZ,6,False,False
85605,AZ,6,False,False
85606,AZ,6,False,False
85609,AZ,6,False,False
85610,AZ,6,False,False
85613,AZ,6,False,False
85616,AZ,6,False,False
85619,AZ,6,False,False
85620,AZ,7,False,False
85621,AZ,7,False,False
85624,AZ,7,False,False
85625,AZ,6,False,False
85627,AZ,6,False,False
85630,AZ,6,False,False
85632,AZ,6,False,False
85633,AZ,7,False,False
85639,AZ,7,False,False
85640,AZ,7,False,False
85646,AZ,7,False,False
85648,AZ,7,False,False
85650,AZ,6,False,False
85701,AZ,7,False,False
85704,AZ,6,False,False
85709,AZ,7,False,False
85715,AZ,6,False,False
85718,AZ,6,False,False
85721,AZ,7,False,False
85723,AZ,7,False,False
85724,AZ,7,False,False
85726,AZ,7,False,False
85734,AZ,7,False,False
85735,AZ,7,False,False
85736,AZ,7,False,False
85737,AZ,6,False,False
85741,AZ,6,False,False
85742,AZ,6,False,False
85746,AZ,7,False,False
85748,AZ,6,False,False
85749,AZ,6,False,False
85750,AZ,6,False,False
85755,AZ,6,False,False
85757,AZ,7,False,False
85901,AZ,2,False,False
85902,AZ,2,False,False
85911,AZ,2,False,False
85912,AZ,2,False,False
85920,AZ,2,False,False
85922,AZ,6,False,False
85923,AZ,2,False,False
85924,AZ,2,False,False
85925,AZ,2,False,False
85926,AZ,2,False,False
85927,AZ,2,False,False
85928,AZ,2,False,False
85929,AZ,2,False,False
85930,AZ,2,False,False
85931,AZ,2,False,False
85932,AZ,2,False,False
85933,AZ,2,False,False
85934,AZ,2,False,False
85935,AZ,2,False,False
85936,AZ,2,False,False
85937,AZ,2,False,False
85938,AZ,2,False,False
85939,AZ,2,False,False
85940,AZ,2,False,False
85941,AZ,2,False,False
85942,AZ,2,False,False
86001,AZ,2,False,False
86003,AZ,2,False,False
86004,AZ,2,False,False
86005,AZ,2,False,False
86011,AZ,2,False,False
86015,AZ,2,False,False
86016,AZ,2,False,False
86017,AZ,2,False,False
86018,AZ,2,False,False
86020,AZ,2,False,False
86023,AZ,2,False,False
86024,AZ,2,False,False
86025,AZ,2,False,False
86028,AZ,2,False,False
86029,AZ,2,False,False
86030,AZ,2,False,False
86031,AZ,2,False,False
86032,AZ,2,False,False
86033,AZ,2,False,False
86034,AZ,2,False,False
86035,AZ,2,False,False
86036,AZ,2,False,False
86038,AZ,2,False,False
86039,AZ,2,False,False
86040,AZ,2,False,False
86042,AZ,2,False,False
86043,AZ,2,False,False
86045,AZ,2,False,False
86046,AZ,2,False,False
86047,AZ,2,False,False
86052,AZ,2,False,False
86053,AZ,2,False,False
86054,AZ,2,False,False
86301,AZ,2,False,False
86303,AZ,2,False,False
86305,AZ,2,False,False
86313,AZ,2,False,False
86314,AZ,2,False,False
86315,AZ,2,False,False
86320,AZ,2,False,False
86321,AZ,2,False,False
86322,AZ,2,False,False
86323,AZ,2,False,False
86324,AZ,2,False,False
86325,AZ,2,False,False
86326,AZ,2,False,False
86327,AZ,2,False,False
86329,AZ,2,False,False
86331,AZ,2,False,False
86332,AZ,2,False,False
86333,AZ,2,False,False
86334,AZ,2,False,False
86335,AZ,2,False,False
86336,AZ,2,False,False
86337,AZ,2,False,False
86338,AZ,2,False,False
86343,AZ,2,False,False
86351,AZ,2,False,False
86403,AZ,9,False,False
86404,AZ,9,False,False
86406,AZ,9,False,False
86413,AZ,9,False,False
86426,AZ,9,False,False
86429,AZ,9,False,False
86431,AZ,9,False,False
